Primary Melee Line,Age,Headwear,Body Garment / Leg / Footwear,"Signature Props (Items, Weapons, Shields, Accessories, etc.)",Historical Description
Club Man,Stone,"Bear/deer-hide cap: hemispherical, stitched panels, chin strap (Otzi pattern). Brown fur. TC hide band around the brow. 6-8 sided dome - no horns, no animal skulls.","Bare torso, weathered. TC hide loincloth of stitched sheepskin strips, belted. Calfskin belt ~5cm wide with a small tool pouch. Hide foot-wraps or bare feet. Read as tailored and repaired, not a single draped pelt.","BIG stone-headed war club - polished ovoid or cushion-shaped greenstone head (fist-to-melon size, pierced straight through), wood haft ~90cm protruding both ends. Scale the head 3x the current stick tip so it reads at zoom. Flint knife at belt. No shield.","Neolithic / Chalcolithic Europe, c. 3300 BC. The best-evidenced Stone Age outfit anywhere is Otzi the Iceman: bearskin cap with chin strap, a goat-and-sheep-hide coat sewn from alternating dark and light strips (a natural stripe pattern), separate goatskin leggings lashed to a belt, sheepskin loincloth, and deerskin shoes on a woven bark net stuffed with grass. Five animal species, tailored, and visibly mended - the ragged-single-pelt caveman look is a myth. Perforated stone maceheads (~70mm, often chosen for striking green stone) were hafted on wood; archaeologically they read as elite status weapons rather than common issue, which suits an oversized hero club."
Short Swordsman,Bronze,"Boar's-tusk helmet: tall conical / beehive cap, 3-5 dense rows of ivory-cream tusk plates with adjacent rows curving opposite ways, hinged cheek pieces, leather neck flap. Reads as a ribbed pale cone. TC on the leather chin and brow band and the cheek-piece edging.","Dendra panoply: rigid tubular bronze capsule from neck to thigh, deep bronze collar, boxy flaring stacked shoulder guards, 3 pairs of curved bronze thigh bands. Brown-gold beaten bronze - NOT yellow-gold, NOT green patina. TC wool tunic showing at the neck and below the thigh bands. Open bronze greaves; sandals or bare feet.","Bronze short sword, Naue II type: 55-65cm, straight blade tapering to a point, flanged hilt flowing straight into the blade with NO crossguard, half-moon pommel, 3-9 visible rivets. NO SHIELD - the panoply is the protection. Bronze dagger at the hip.","Mycenaean Greece, c. 1450-1400 BC. The Dendra panoply is roughly 15-18 hammered bronze plates thonged to a leather backing - an articulated barrel, not a fitted muscle cuirass (that is 500 years later). A 2024 study put Greek marines through 11 hours of Iliad-derived combat in a replica and confirmed it was fully combat-viable on foot, ending the old parade-armor-only theory. Boar's-tusk helmets needed the tusks of 40-50 boars, so they are inherently elite gear. Naue II swords arrived from Italy and Central Europe in the 13th c. BC and were the first Aegean blades good at both cut and thrust."
Broad Swordsman,Iron,"Negau helmet: one-piece bronze dome with a raised front-to-back medial ridge (keel) and a flat, right-angle brim all the way round. Open face, no cheek pieces. Reads as a ridged bowl with a hard horizontal brim line. TC cord or pennant tied at the ridge.","Assyrian-pattern lamellar/scale corslet over a knee-length tunic: small squared-top iron plates in dense horizontal courses, torso only, arms and legs free. Cool grey iron with red-brown rust in the recesses - iron rusts brown, never green, and that is the big color separation from the Bronze Age tier. TC tunic body plus TC waist sash. Tall laced leather boots.","Longer, broader iron sword - Hallstatt C / early La Tene type, 70-85cm, straight double-edged blade visibly wider AND longer than the bronze short sword, organic wood or horn grip, iron scabbard on a hip strap. Small round Italic parma shield ~50-60cm: wood and leather, central iron boss, TC face with a simple boss-centered device.","A deliberate cross-culture pairing, but both halves are genuinely Iron Age. The Negau helmet is Etruscan-made, c. 450-350 BC, known from a 26-helmet hoard at Zenjak, Slovenia - a ridged dome with a flat brim, distinct from the earlier crested Villanovan type and the later knobbed Montefortino. Lamellar and scale armor of small squared plates is Neo-Assyrian, 9th-7th c. BC, using a triple-overlap system with a raised ridge on each plate to deflect. Long iron slashing swords are Hallstatt C (800-650 BC) and La Tene (450-50 BC), 60-90cm. One correction: the big oval or hexagonal shield is the Celtic form - small round shields are the Italic tradition, which is the one that belongs with a Negau helm."
Legionaire,Classical,"Imperial Gallic helmet: embossed eyebrow motifs on the brow, wide flared neck guard, large hinged cheek pieces, slide-on crest holder. Polished steel with brass trim and brass boss rosettes. TC crest and TC band on the brass-edged brow.","Lorica segmentata: horizontal girdle plate bands wrapping the torso, layered shoulder guards, brass buckles, lobate hinges and tie-hooks catching warm yellow highlights against bright grey-silver steel. Deliberately brighter and more polished than the Iron Age tier - the brass fittings give you the gold-trim read at zoom while staying accurate. TC tunic showing at sleeve and hem, TC focale scarf knotted at the throat. Studded leather cingulum apron hanging from the belt. Hobnailed caligae - open lattice strap boots, NOT closed shoes.","Curved rectangular scutum ~107cm tall (much larger than the Broad Swordsman's round shield): 3-ply laminated wood, canvas and calfskin cover, bronze-bound edge, big central metal boss. TC face with the Jupiter thunderbolt-and-wing blazon (the most common real one). Pompeii-type gladius: 45-50cm, parallel edges with no waist, short triangular tip - shorter than the broad sword but far cleaner and more sharply edged. Pugio dagger on the opposite hip. Optional pilum for idle poses.","Roman Imperial legionary, 1st-2nd c. AD. Worth knowing: lorica segmentata was probably NOT the everyday standard - mail (lorica hamata) was likely more common at all times, and segmentata may have been reserved for set-piece battles and parades. It is still the right pick here because it is the most instantly readable Roman silhouette ever made. The fittings were brass, not gold; brass gets you the warm trim you wanted without breaking accuracy. The Imperial Gallic helmet is the one with embossed eyebrows (Celtic-made, late 1st c. BC to early 2nd c. AD); the Imperial Italic is the plainer, cruder cousin. The scutum shrank from a Republican oval of ~130cm to this ~107cm curved rectangle."
Vanguard,Medieval,"Great helm: flat-topped barrel or tapered sugarloaf, completely featureless except one horizontal vision slit and a cross of breath holes on the right side. Matte dull steel - no chrome. Worn over a mail coif and padded arming cap, so the neck reads thick. TC crest/torse at the crown and a TC painted band. The faceless blank is the strongest head silhouette in the game.","Knee-length mail hauberk with riding slits over a quilted gambeson (gambeson collar and cuffs visible at throat and wrist). Mail = flat desaturated matte grey reading as heavy dense fabric - do NOT use a specular or chrome shader. Over it, a white sleeveless surcoat to mid-calf with a bold red cross pattee, belted. TC as a broad band or quartering on the surcoat so team still reads against the white. Mail chausses on the legs, leather boots, prick spurs.","Two-handed greatsword: 1.4m+, long unsharpened ricasso for half-swording, parierhaken (hooked lugs) above the ricasso, straight quillons, pear or wheel pommel. NO SHIELD - both hands on the sword. Sheathed longsword or rondel dagger at the belt for silhouette variety.","This unit deliberately mixes two eras and it is worth knowing exactly where. Mail hauberk + great helm + cross surcoat is the 13th-century crusading knight (great helm c. 1210-1340; the Templar white mantle with a red cross pattee was granted in 1147). The two-handed greatsword is 16th-century - the Zweihander carried by Landsknecht Doppelsoldner, the double-pay men who walked the front of a pike block hacking down enemy pike shafts. That is roughly a 250-year gap. It looks great and it is your call; just do not let it set the era for anything else. One correction worth taking regardless: European mail was riveted, and reads as matte dull grey dense weave rather than shiny chrome - that single material choice sells medieval harder than any prop."
Musketeer,Enlightenment,"Tricorne: three-sided cocked brim, black felt, edged in gold lace, TC cockade or ribbon rosette at the left cock, small white feather trim. Crisp and upright - keep it sharper than the Skirmisher's cut-down hat.","Soubreveste (cassock/tabard) worn open-sleeved over a civilian doublet: TC field carrying a large white-silver cross down front, back and both sleeves, with GOLD FLEUR-DE-LIS at each of the four arm-ends and a red flame burst at the center. Gold braid edging, red lining flashing at the openings. Knee breeches, white stockings, buckled shoes or tall leather cavalier boots. Wide leather baldric across the chest. Keep the cross white so the shape reads - TC lives in the cassock field.","Flintlock musket (Charleville pattern): walnut stock, three barrel bands, socket bayonet at the belt. Rapier on the baldric. Powder flask and cartridge box on a crossbelt. No shield. Upright drill stance.","Musketeers of the Guard, France, founded 1622, disbanded 1776. Two corrections to the usual picture. First, the Grey and Black musketeer companies were named for the color of their matched horses, not their uniforms - the cassock was blue. Second, the tricorne is late: the 1620s-50s D'Artagnan era wore a wide-brimmed plumed cavalier hat, and the tricorne only becomes standard from the 1660s-90s, which is exactly right for an Enlightenment slot. The cross design is authentic as described: white-silver cross, gold fleur-de-lis at the four arm-ends, red flame at the center - swapping the field for team color keeps the whole shape intact."
,,,,,
Primary Anti Cavalry Line,Age,Headwear,Body Garment / Leg / Footwear,"Signature Props (Items, Weapons, Shields, Accessories, etc.)",Historical Description
Spear Man,Stone,"Flat-topped hide skullcap, no chin strap, TC hide brow band. Keep the head shape distinct from Club Man's dome so the two Stone Age melee units separate at zoom.",Bare torso; TC hide loincloth; a single hide shoulder strap crossing the chest as a visual separator from Club Man; grass and bark foot wraps.,"Long fire-hardened wooden spear, 1.9-2.5m, thickest through the forward third like a javelin, tip charred dark brown-black. Alternative: a bound flint point lashed into a split shaft with sinew and birch-tar. NO metal anywhere on this unit. Spare javelin slung on the back. No shield.","Paleolithic / Neolithic. The Schoningen spears from Germany are the benchmark: 1.84-2.53m of spruce, 29-47mm thick, weighted forward like a modern javelin, and thrown effectively to 15-20m in experimental tests - these were throwing weapons, not just thrusting poles. Points were fire-hardened wood; flint, bone or antler heads were lashed into a split shaft with sinew and birch-tar pitch. Flint is grey, black, honey-brown or translucent, not uniformly black - worth a small palette variation across the unit."
Spearfighter,Bronze,"Boar's-tusk helmet as the Short Swordsman, but with a plain leather neck flap and NO cheek pieces so the two Bronze Age units read apart at zoom. TC chin and brow band.","Lighter Dendra-family panoply: bronze collar and tubular torso capsule, single-piece shoulder guards (simpler than the swordsman's stacked boxy ones), 2 pairs of thigh bands. Brown-gold bronze. TC tunic at neck and hem. Open bronze greaves.","Bronze thrusting spear 2.4-3m - clearly longer than the Stone Age spear. Small socketed leaf/lozenge bronze head (keep it modest, do NOT inflate it) PLUS a bronze sauroter butt-spike at the rear, so metal glints at BOTH ends of the shaft. That two-ended metal read is the period-correct silhouette. Ash shaft ~5cm. Bronze dagger at the hip. No shield.","Mycenaean Greece and the Late Bronze Age Near East, c. 1700-1200 BC. The spear, not the sword, was the primary Bronze Age weapon: bronze is soft, and the long thin Type A rapiers snapped at the hilt often enough that the archaeological record is full of repairs. So a spear-first unit is arguably more accurate than the sword line. Spearheads were socketed and small relative to the shaft. The sauroter (butt-spike) counterweighted the head, let the spear be planted upright in the ground, and served as a backup point if the head sheared off."
