"Stone Age","Historical Description"
"Town Center","No true chief's palace exists anywhere in the Neolithic record - the closest real analogues are a higher-status dwelling like Skara Brae's House 7 (thicker drystone walls, a lockable stone slab door, carved decoration) and communal ceremonial complexes such as the Ness of Brodgar, Orkney, c. 3180-2500 BC. Build it as an oversized version of the house: double-skin drystone walls with the core packed with clay and midden, partly sunk into an earth mound for insulation, turf or thatch roof, linked to smaller cells by covered stone passages. Silhouette is a low mounded stone hummock with a smoking roof vent, not a tower."
"House","Two good options - pick one per biome. Skara Brae type: a low drystone cell half-buried in midden with a single low doorway; the roof is genuinely unknown but plausibly turf or eel-grass thatch on driftwood or whalebone rafters (c. 3180-2500 BC, Orkney). Roundhouse type: a ring of timber posts with woven wattle panels daubed in clay, straw and dung, under a conical thatch roof at roughly 45 degrees - the strongest pitch, confirmed by experimental archaeology - 5-15m across, central hearth, and NO smoke hole; smoke filters through the thatch itself, which also kills insects in the roof. The thatch cone is the more readable silhouette at RTS zoom."
"Storage Pit","The world's oldest known granaries are circular-to-oval structures about 3x3m with floors suspended on timber joists to hold grain above damp and rodents, built between houses in the Jordan Valley at Dhra' around 9500 BC. Alongside them: bell-shaped pits cut into subsoil and sealed with an airtight clay cap, where the outer grain layer ferments and consumes the oxygen, preserving the core. Model both - a small raised timber-floored hut plus two or three capped pits with clay lids and a leaning ladder. One correction worth knowing: Jericho's famous round tower is defensive or ritual, not a granary, despite being cited as one constantly."
"Barracks","FLAG: there is no Neolithic barracks. No warrior-housing structure exists anywhere in the record for this period - fighters lived in ordinary houses. The most defensible stand-in is a workshop or communal building; Skara Brae's detached House 8 has no beds or dresser and is read as a workshop, which is the closest thing to a non-domestic building in the era. Build it as a larger roundhouse or stone cell with weapon racks, hides drying on frames, a knapping floor scattered with flint debris and an outdoor hearth. Gameplay needs the slot; just do not expect a real precedent."
"",""
"Bronze Age","Historical Description"
"Town Center","Mycenaean megaron palace core, c. 1600-1200 BC. Mudbrick walls on a stone socle with heavy timber framing for earthquake resistance, and frescoed plaster surfaces. The plan runs two-column entry porch, then vestibule, then the main hall with four columns ringing a circular central hearth and the throne against one side wall. Roof form is genuinely unresolved in scholarship; the consensus lean is a flat or low roof with a central oculus venting smoke over the hearth. Set it inside cyclopean walls - massive roughly-fitted limestone boulders with smaller stones chinking the gaps - and give the gate a corbelled relieving triangle like the Lion Gate at Mycenae."
"House","Minoan and Mycenaean domestic building, c. 2000-1100 BC. Ashlar lower courses with mudbrick above, timber tie-beams running through the walls, flat roofs, and light-wells bringing daylight down into multi-story interiors. Plastered and sometimes frescoed. Mycenaean commoner housing is the plainer cousin: rectilinear stone and mudbrick boxes clustered below the citadel. Silhouette is flat-roofed cubic massing with a stepped roofline - a deliberate contrast against the Stone Age cone."
"Storage Pit","Two real forms to draw on. The freestanding domed mudbrick beehive silo, loaded from a top opening by ladder and emptied through a small door at the base, shown in Old Kingdom Egyptian relief. And the multi-chambered granary complex - peaked-roof storage cells around a courtyard with a scribe recording intake - per the Meketre tomb model, Dynasty 12, c. 1981-1975 BC. For Aegean flavor, use Knossos-style magazines instead: long narrow rooms lined with pithoi holding up to 227 liters each, with stone-lined cists sunk beneath the floor for valuables."
"Barracks","The real Bronze Age barracks is Egyptian rather than Aegean - the Middle Kingdom fortress barracks at Uronarti and Buhen on the Nubian frontier, c. 1860 BC. Mudbrick, deliberately thinner-walled than the granary and administrative buildings, laid out on a standardized three-room plan: a long communal hall with two back rooms sleeping five to ten men each. Buhen housed around 1,000 soldiers and 300 archers inside its fortress walls. Build it as a low mudbrick range of repeating door bays under a flat roof, with a shaded colonnade and weapon racks outside."
